Ticks,Length
300,19.5
500,20
700,20.4
900,20.5
1100,20.9
1300,21.2
1500,21.6
2000,22.4
2500,23.9
3000,25.4
4000,28.8
5000,32.5
7500,42.2
10000,52.6
12500,62.6
15000,73
17500,83.4
20000,93.8
500,20.3
700,20.6
1000,20.8
1500,21.6
2000,22.5
2500,23.9
4000,29
6000,36
8000,44.3
10000,52.5
14000,68.5
18000,85.2
20000,93.6

16150,77.7
18228,86.4
16499,79.9
14325,72.1
7350,42.1
11838,60.7
13567,67.1
5121,35.4
9722,51.7
10727,55.9
18769,88.5
6975,40
13098,64.7
19325,91
15941,77
